MPCP	0	1	1	0.019000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.016000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.016000 ms
DPCP	0	1	1	0.021000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.016000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.003000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.006000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.007000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.057000 ms
DPCP	0	1	1	0.013000 ms
DPCP-ROP	0	1	1	0.008000 ms
MSRP-GS	0	1	1	0.006000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.008000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.152000 ms
DPCP-ROP	0	1	1	0.009000 ms
MSRP-GS	0	1	1	0.008000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.018000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.004000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.023000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.017000 ms
DPCP	0	1	1	0.006000 ms
DPCP-ROP	0	1	1	0.005000 ms
MSRP-GS	0	1	1	0.004000 ms
MPCP	0	1	1	0.033000 ms
DPCP	0	1	1	0.006000 ms
